timestep,px,py,theta,px_ref,py_ref,theta_ref,error_px,error_py,error_theta,error_norm
321,1.2254432235519148,-0.3899729698953483,3.085467267280428,-0.13670801224209556,0.13638826994159764,-3.9233924131651245,1.3621512357940104,-0.5263612398369459,0.7256743732659663,1.6306794412124015
322,1.2161444400876136,-0.38945052338686226,3.070558967416538,-0.1566540669417306,0.1561727815432119,-3.922281314787061,1.3727985070293443,-0.5456233049300742,0.7096549750240131,1.6388687303628517
323,1.2068544784666086,-0.38878951101901343,3.0556506675526482,-0.1765844563652152,0.175894826114484,-3.921015545303741,1.383438934831824,-0.5646843371334974,0.693480905676803,1.647327366843284
324,1.197575403413419,-0.3879900797039742,3.0407423676887584,-0.19649718749021736,0.19554651510054424,-3.9195938240937864,1.3940725909036362,-0.5835365948045185,0.677150884602959,1.656045490529593
325,1.1883092772329877,-0.38705240711798317,3.0258340678248685,-0.21639026906021674,0.21511998808781552,-3.918014708564899,1.4046995462932044,-0.6021723952057987,0.6606634692101814,1.665013101586007
326,1.1789259837994193,-0.3859613324961761,3.0124634394863916,-0.23626171178363561,0.23460741594808077,-3.9162765912537947,1.415187695583055,-0.6205687484442568,0.6455547235606005,1.674694803952873
327,1.169558117015001,-0.3847448986096902,2.9990928111479147,-0.25610952853275937,0.2540010039700232,-3.914377696595565,1.4256676455477604,-0.6387459025797133,0.6302852005638933,1.6845723486018445
328,1.1602073515830096,-0.383403322921675,2.985722182809438,-0.27593173454245457,0.2732929949770132,-3.912316077356705,1.4361390861254641,-0.6566963178986882,0.6148529529865563,1.6946355603595917
329,1.1508753591494953,-0.38193684526701,2.972351554470961,-0.29572634760863703,0.29247567242986966,-3.9100896107257492,1.4466017067581323,-0.6744125176968796,0.5992558580171234,1.7048742843358344
330,1.1415638080044401,-0.3803457278094289,2.958980926132484,-0.3154913882864973,0.3115413635133787,-3.907695994055149,1.4570551962909375,-0.6918870913228076,0.5834916130080465,1.7152784189828454
331,1.132160463078887,-0.37860922124696855,2.947103014027826,-0.33522488008843665,0.3304824422053109,-3.905132740247893,1.4673853431673236,-0.7090916634522795,0.5690504470961324,1.7262239553024725
332,1.1227784070673525,-0.37676114770221397,2.9352251019231677,-0.35492484968172117,0.34929133232673576,-3.9023971727822846,1.4777032567490738,-0.7260524800289497,0.5544369675258665,1.737285085909128
333,1.1134189636197322,-0.3748017679071787,2.9233471898185095,-0.37458932708580633,0.3679605105723846,-3.8994864203683637,1.4880082907055385,-0.7427622784795633,0.5396483030072865,1.748452105857983
334,1.1040834531956707,-0.3727313582973112,2.9114692777138513,-0.3942163458693397,0.38648250951987934,-3.896397411229687,1.4982997990650104,-0.7592138678171905,0.5246813817639522,1.7597154705616245
335,1.094773192878266,-0.3705502109724946,2.899591365609193,-0.4138039433467995,0.4048499206165983,-3.8931268670045958,1.5085771362250655,-0.7754001315890928,0.5095329254342023,1.7710658209425585
336,1.0853940567908142,-0.3682350755016238,2.8891408306517756,-0.43335016077475924,0.42305539714299684,-3.889671296261702,1.5187442175655734,-0.7912904726446206,0.4956268197338911,1.7827985177598011
337,1.0760396268274675,-0.3658220512464064,2.878690295694358,-0.4528530435477663,0.44109165715120235,-3.886026987625228,1.5288926703752337,-0.8069137083976088,0.48153197613999943,1.7945739255802162
338,1.066710924610657,-0.36331140173970483,2.8682397607369405,-0.472310641393794,0.4589514863776903,-3.882190002506985,1.5390215660044508,-0.8222628881173951,0.4672444560643392,1.8063834087825352
339,1.0574089689530173,-0.3607034011762978,2.857789225779523,-0.49172100856927403,0.47662774112889944,-3.878156167443333,1.5491299775222913,-0.8373311423051972,0.4527600860432699,1.8182185854968733
340,1.0481347757461195,-0.35799833438293427,2.8473386908221054,-0.5110822040536624,0.49411335113860816,-3.873921066037381,1.559216979799782,-0.8521116855215425,0.4380744496799007,1.830071347833375
341,1.0388112122528188,-0.35517281464833045,2.83823809609095,-0.5303922917435467,0.5114013223959523,-3.8694800305091057,1.5692035039963654,-0.8665741370442828,0.4245328194204694,1.842166791230807
342,1.029513748404531,-0.35226256311727255,2.8291375013597944,-0.549649340646248,0.5284847399429308,-3.8648281328590564,1.579163089050779,-0.8807473030602033,0.41078032703926404,1.854241718533672
343,1.0202431542195625,-0.34926782081752833,2.820036906628639,-0.5688514250729251,0.5453567706403021,-3.8599601756549156,1.5890945792924875,-0.8946245914578304,0.39681177510396815,1.866288918265074
344,1.0110001974908682,-0.34618883577441223,2.8109363118974833,-0.5879966248311352,0.5620106659007431,-3.8548706824545653,1.5989968223220035,-0.9081995016751554,0.38262168717246237,1.87830150086017
345,1.0017856437224615,-0.3430258629902441,2.8018357171663277,-0.6070830254168587,0.5784397643882002,-3.8495538878845514,1.6088686691393201,-0.9214656273784443,0.3682042978712925,1.890272917318811
346,0.9925375239418301,-0.3397569909118532,2.794001899453766,-0.6261087182059404,0.5946374946823286,-3.8440037273990715,1.6186462421477705,-0.9343944855941818,0.35482031967325156,1.9023685687008558
347,0.983315295418361,-0.33641577179262394,2.786168081741204,-0.645071800644958,0.6105973779069791,-3.8382138267520136,1.628387096063319,-0.947013149699603,0.34119660131363183,1.9143911724298839
348,0.9741195241053351,-0.3330024106777814,2.778334264028642,-0.6639703764414682,0.6263130303216559,-3.8321774912232933,1.6380899005468033,-0.9593154409994373,0.32732644807234923,1.926335184027183
349,0.9649507743323968,-0.3295171170397884,2.7705004463160803,-0.6828025557536419,0.6417781658749337,-3.8258876946509806,1.6477533300860387,-0.9712952829147221,0.31320283378747504,1.9381954438380369
350,0.9558096087709225,-0.32596010476549064,2.7626666286035184,-0.7015664553792397,0.6569865987187891,-3.819337068332679,1.6573760641501623,-0.9829467034842797,0.2988183897566117,1.9499671971510777
351,0.9466471266883697,-0.3223118980749634,2.7560154350425963,-0.7202601989439371,0.671932245682862,-3.812517889873574,1.6669073256323068,-0.9942441437578254,0.2853480177365846,1.9617657711535235
352,0.937509112021675,-0.3186028310870025,2.749364241481674,-0.7388819170889542,0.6866091287076386,-3.805422072074789,1.6763910291106292,-1.0052119597946412,0.27160100637687634,1.9734500432647668
353,0.9283959690202749,-0.3148330678841022,2.742713047920752,-0.7574297476579961,0.7010113772355988,-3.798041151974392,1.6858257166782709,-1.015844445119701,0.2575688927155575,1.9850163773100407
354,0.9193081008333278,-0.31100277523384895,2.73606185435983,-0.7759018358834606,0.715133230559358,-3.790366280175059,1.6952099367167883,-1.026136005793207,0.2432428273553029,1.996461596171681
355,0.9102459094918796,-0.3071121225815437,2.7294106607989077,-0.7942963345719204,0.7289690401258765,-3.782388210617148,1.7045422440637998,-1.0360811627074202,0.22861356423646928,2.0077830060213473
