timestep,v,omega,controller,solve_time_ms
215,-0.17095853113350262,-1.466322286938579,MPC,66.87200000305893
216,-0.08180558282222104,-1.4867873427629472,MPC,69.2918999993708
217,-0.02435109381756295,-1.5053426618884884,MPC,80.62749999953667
218,0.013792371932674071,-1.5217421963298394,MPC,77.66999999876134
219,0.04030739749344139,-1.5357683730188108,MPC,92.20120000099996
220,0.05996982238931343,-1.5472311179902631,MPC,74.90099999995437
221,0.07575514760440416,-1.5559691009688694,MPC,81.86619999833056
222,0.08952106237430976,-1.56185168986529,MPC,77.8476999985287
223,0.10242849850095033,-1.5647810947212937,MPC,80.0569999992149
224,0.11520131473592668,-1.56469429588555,MPC,72.83800000004703
225,0.12828635546612904,-1.5615644518135352,MPC,78.10980000067502
226,0.14195200237728312,-1.5554015704494737,MPC,75.62780000080238
227,0.15634878033932545,-1.5462523077040156,MPC,89.42560000286903
228,0.1715466051906542,-1.5341988286777712,MPC,78.85309999983292
229,0.18755772694310335,-1.5193567322488992,MPC,94.3660999982967
230,0.20435100625126962,-1.5018720968383334,MPC,81.62969999830239
231,0.2766296550836761,-1.480845883361512,MPC,155.57690000059665
232,0.35852019186876394,-1.4567724557101283,MPC,97.19989999939571
233,0.40253891521713964,-1.4313162456864181,MPC,78.64300000073854
234,0.4296503902531376,-1.404382377199294,MPC,78.17710000017541
235,0.450979508374381,-1.376110275985458,MPC,64.35899999996764
236,0.48526534535326676,-1.3472296975747542,MPC,71.04479999907198
237,-1.9000000000000012,-2.850000000000799,MPC,71.08700000026147
238,-1.9000000000000012,-2.850000000000795,MPC,89.10870000181603
239,-1.9000000000000012,-2.850000000000791,MPC,74.37319999735337
240,-1.9000000000000008,-2.8500000000007866,MPC,87.57439999681083
241,-1.9000000000000408,-2.850000000000783,MPC,98.18509999968228
242,-1.900000000000011,-2.850000000000778,MPC,117.16100000194274
243,-1.9000000000000032,-2.8500000000007737,MPC,90.67249999861815
244,-1.7984221076619995,-2.8500000000007693,MPC,71.69319999957224
245,-1.03083513928154,-2.8500000000007644,MPC,104.68869999749586
246,-0.5184413702759552,-2.85000000000076,MPC,78.91000000017812
247,-0.1171255485107539,-2.850000000000755,MPC,96.13199999876088
248,-0.060059158659016405,-2.85000000000075,MPC,102.74930000014137
249,-0.0497723241598744,-2.8500000000007457,MPC,130.49449999743956
250,-0.04678145849681245,-2.850000000000741,MPC,238.31399999835412
251,-0.045059993566110366,-2.850000000000736,MPC,131.33729999753996
252,-0.043617915480362424,-2.8500000000007306,MPC,139.29210000060266
253,-0.0422689568517991,-2.8500000000007257,MPC,106.55330000008689
254,-0.04096718846573345,-2.8500000000007204,MPC,88.68640000218875
255,-0.03969329924000411,-2.850000000000715,MPC,148.65909999934956
256,-0.03843294788205561,-2.8500000000007097,MPC,344.21239999937825
