x,y,z
-2.519417222531438938e+01,2.799476603960626875e+01,1.260000000000000009e-01
-2.497368044084183936e+01,2.819632101083528752e+01,1.260000000000000009e-01
-2.474950254822827134e+01,2.839378688987646626e+01,1.260000000000000009e-01
-2.452171432515307004e+01,2.858717912128027194e+01,1.260000000000000009e-01
-2.429039154929558819e+01,2.877651314959716444e+01,1.260000000000000009e-01
-2.405560999833521052e+01,2.896180441937764272e+01,1.260000000000000009e-01
-2.381744544995128621e+01,2.914306837517214532e+01,1.260000000000000009e-01
-2.357597368182320707e+01,2.932032046153116767e+01,1.260000000000000009e-01
-2.333127047163033296e+01,2.949357612300516251e+01,1.260000000000000009e-01
-2.308341159705203438e+01,2.966285080414462172e+01,1.260000000000000009e-01
-2.283247283576766762e+01,2.982815994949999450e+01,1.260000000000000009e-01
-2.257852996545662805e+01,2.998951900362177270e+01,1.260000000000000009e-01
-2.232165876379826130e+01,3.014694341106040909e+01,1.260000000000000009e-01
-2.206193500847195565e+01,3.030044861636638487e+01,1.260000000000000009e-01
-2.179943447715705673e+01,3.045005006409017057e+01,1.260000000000000009e-01
-2.153423294753295636e+01,3.059576319878224737e+01,1.260000000000000009e-01
-2.126640619727901793e+01,3.073760346499305740e+01,1.260000000000000009e-01
-2.099603000407460840e+01,3.087558630727310316e+01,1.260000000000000009e-01
-2.072318014559910182e+01,3.100972717017284097e+01,1.260000000000000009e-01
