,t,dist_err,head_err,v_l,v_r,x,y,pitch_deg,v_act,gL,gR,t_rel
428,1777515104.0632055,3.578286,-6.8018484,0.7709523,0.72673273,-24.45497450936836,28.548898340426813,0.0,0.3918820208288354,1.0137895,0.98318267,87.22526264190674
429,1777515104.2627847,3.5030425,-6.145405,0.763479,0.73236334,-24.398119397466438,28.598629175294803,0.0,0.3924475414903987,1.0154845,0.98211133,87.42484188079834
430,1777515104.4640365,3.4247491,-5.2362843,0.754119,0.73975503,-24.335681427101143,28.651490182178037,0.0,0.45729519504710997,1.0167586,0.981245,87.62609362602234
431,1777515104.6639946,3.3262079,-4.762631,0.7491813,0.7437257,-24.25613863004881,28.716829649667126,0.0,0.5398210099171263,1.0176228,0.98064303,87.82605171203613
432,1777515104.8642302,3.1970005,-4.3597636,0.74512064,0.74704874,-24.152616211291434,28.80039777546116,0.0,0.6816547848055664,1.0182812,0.980221,88.026287317276
433,1777515105.062884,3.0590346,-4.062077,0.74219084,0.7495022,-24.03707092474735,28.89210768491392,0.0,0.7374786514318376,1.0187485,0.9799191,88.22494125366211
434,1777515105.2625785,2.902537,-3.7880502,0.7395939,0.75170714,-23.92066846724693,28.982998648086852,0.0,0.740910828239207,1.0190995,0.9797187,88.42463564872742
435,1777515105.463695,2.7532215,-3.7948725,0.73961383,0.75175875,-23.801956895453166,29.075084082773525,0.0,0.7556184779780196,1.0192987,0.979591,88.62575221061707
436,1777515105.6646392,2.6113436,-3.7942133,0.739619,0.75185126,-23.682437656838644,29.166742297014245,0.0,0.7698294772968484,1.0194398,0.979484,88.82669639587402
437,1777515105.8633964,2.4546382,-6.0616903,0.760267,0.73477924,-23.566900764245002,29.25905515867395,0.0,0.7640889522229832,1.0193375,0.9796641,89.02545356750488
438,1777515106.063312,2.3055534,-8.312106,0.781286,0.7179438,-23.452899006408202,29.357479987205483,0.0,0.757490581723084,1.0195078,0.97974694,89.2253692150116
